FID,SUBNAME,SUBSTATION,MIN_KV,MAX_KV,NUMBANKS,REDACTED,OBJECTID,UNGROUNDED
529,PUTAH CREEK,6368,12.000000000000000,115.000000000000000,2.000000000000000,Yes,161836,None
530,SF E,2207,0.000000000000000,12.000000000000000,3.000000000000000,No,161837,None
531,FLORENCE,1269,4.160000000000000,12.000000000000000,1.000000000000000,Yes,161838,None
532,SF L,2226,4.160000000000000,12.000000000000000,2.000000000000000,Yes,161840,None
533,OAKLAND I,1208,4.000000000000000,12.000000000000000,2.000000000000000,No,161841,None
534,SF Z,2287,12.000000000000000,230.000000000000000,10.000000000000000,Yes,161842,None
535,SF J Tie Cable Bu,2287,12.000000000000000,12.000000000000000,1.000000000000000,Yes,161842,None
536,LONE TREE,1323,21.000000000000000,230.000000000000000,2.000000000000000,No,161623,None
537,GIFFEN,25315,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65070,None
538,GATES,25393,12.000000000000000,230.000000000000000,2.000000000000000,Yes,65071,None
539,CHARCA,25450,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65072,None
540,SALMON CREEK,4316,12.000000000000000,60.000000000000000,1.000000000000000,No,161624,1
541,CORONA,4349,12.000000000000000,115.000000000000000,1.000000000000000,Yes,161625,None
542,CLAYTON,1202,12.000000000000000,115.000000000000000,4.000000000000000,No,161626,None
543,TIDEWATER,1465,21.000000000000000,230.000000000000000,2.000000000000000,Yes,161628,None
544,MEADOW LANE,1430,21.000000000000000,115.000000000000000,3.000000000000000,Yes,161633,None
545,PENNGROVE,4347,12.000000000000000,115.000000000000000,1.000000000000000,Yes,161629,None
546,ROSSMOOR,1416,12.000000000000000,230.000000000000000,2.000000000000000,Yes,161630,None
547,CONCORD NO 1,1296,4.000000000000000,21.000000000000000,2.000000000000000,Yes,161631,None
548,CONTRA COSTA,1365,21.000000000000000,230.000000000000000,4.000000000000000,Yes,161652,None
549,SOBRANTE,1467,12.000000000000000,115.000000000000000,1.000000000000000,Yes,161653,None
