X,Y,SUBST_ID,SUB_NAME,SYS_NAME,SUB_TYPE,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID
-118.18354200102894,33.778840996948986,832,Cherry,Hinson 220/66 System,D -- Distribution,66/12 kV,0.096,0,0.096,25.4,2.02,44.29,Interconnection studies in this area have identified adequate deliverability.,142
-118.394311234995087,33.990248809245081,522,Movie,La Cienega 220/66 System,D -- Distribution,66/16 kV,1.444,0,1.444,25.9,4.88,43.53,Interconnection studies in this area have identified adequate deliverability.,143
-117.928290532507873,33.765540572681537,915,Vera,Ellis 'C' 220/66 System,D -- Distribution,66/12 kV,4.457,1.66,6.117,55.3,10.78,50.04,Interconnection studies in this area have identified adequate deliverability.,144
-117.803390297149974,33.788301250212129,916,Modena,Villa Park 220/66 System,D -- Distribution,66/12 kV,14.767,1.526,16.293,99.4,17.11,83.8,Interconnection studies in this area have identified adequate deliverability.,145
-117.831926995237296,33.88044900176304,918,Atwood,Villa Park 220/66 System,D -- Distribution,66/12 kV,6.776,0.099,6.875,50.4,12.91,43.89,Interconnection studies in this area have identified adequate deliverability.,146
-117.906774211485086,33.656856695518101,919,Bayside,Ellis 'A' 220/66 System,D -- Distribution,66/12 kV,7.06,0.211,7.271,65.5,8.96,78.13,Interconnection studies in this area have identified adequate deliverability.,147
-119.167208353791466,34.300842921120996,670,Saticoy,Santa Clara 220/66 System,D -- Distribution,66/16 kV,10.145,7.123,17.268,44.8,33.9,29.61,Interconnection studies in this area have identified adequate deliverability.,148
-119.009809620872886,34.264771105727384,672,Somis,Santa Clara 220/66 System,D -- Distribution,66/16 kV,4.638,0.248,4.886,28,17.99,22.96,Interconnection studies in this area have identified adequate deliverability.,149
-118.1462323316224,34.567524781941621,674,Anaverde,Antelope 220/66 System,D -- Distribution,66/12 kV,9.508,0.048,9.556,71.9,14.34,62.48,Interconnection studies in this area have identified adequate deliverability.,150
-118.23732500216677,34.86447300180695,676,Rosamond,Antelope 220/66 System,D -- Distribution,66/12 kV,13.731,4.146,17.876,23.6,51.6,14.35,Interconnection studies in this area have identified adequate deliverability.,151
-118.45310662341592,34.415007166230424,613,North Oaks,Saugus 220/66 System,D -- Distribution,66/16 kV,12.791,0.438,13.228,88.8,15.41,87.11,Interconnection studies in this area have identified adequate deliverability.,152
